gene	slope	pval	r2	symbol	DEGs
216	FBgn0010213	-0.111	8.210e-03	0.526	Sod2	Smurf
217	FBgn0024846	-0.114	2.382e-02	0.526	p38b	Smurf & old non-Smurf
218	FBgn0035155	-0.117	4.582e-02	0.631	RabX6	 old non-Smurf
219	FBgn0260234	-0.119	1.391e-02	0.505	Xport-B	none
220	FBgn0015527	-0.124	2.122e-02	0.632	peng	Smurf & old non-Smurf
221	FBgn0027348	-0.126	2.280e-03	0.574	bgm	Smurf
222	FBgn0033229	-0.126	4.700e-04	0.622	CG12822	none
223	FBgn0265177	-0.126	2.964e-02	0.514	CG44242	 old non-Smurf
224	FBgn0020248	-0.13	4.160e-03	0.539	stet	none
225	FBgn0051244	-0.134	2.746e-02	0.536	CG31244	none
226	FBgn0032444	-0.135	3.560e-02	0.531	CCT4	Smurf & old non-Smurf
227	FBgn0086665	-0.139	4.589e-02	0.505	-	none
228	FBgn0030786	-0.14	3.522e-02	0.502	mRpL22	Smurf & old non-Smurf
229	FBgn0033907	-0.142	2.423e-02	0.507	mRpS16	none
230	FBgn0027525	-0.144	1.073e-02	0.558	LTV1	none
231	FBgn0034808	-0.148	5.140e-03	0.621	CG9896	Smurf & old non-Smurf
232	FBgn0265578	-0.149	2.103e-02	0.506	CG44405	none
233	FBgn0038017	-0.156	4.171e-02	0.516	CG4115	none
234	FBgn0267809	-0.157	6.460e-03	0.553	-	none
235	FBgn0034923	-0.159	5.660e-03	0.584	Upf3	Smurf & old non-Smurf
236	FBgn0086039	-0.163	4.430e-03	0.562	-	none
237	FBgn0267691	-0.163	5.130e-03	0.552	-	none
238	FBgn0086447	-0.166	1.010e-02	0.537	l(2)37Cg	none
239	FBgn0085192	-0.167	3.141e-02	0.548	CG34163	 old non-Smurf
240	FBgn0031692	-0.192	2.430e-03	0.705	TpnC25D	none
241	FBgn0052639	-0.193	3.930e-03	0.507	CG32639	none
242	FBgn0031032	-0.195	9.880e-03	0.521	CG14204	none
243	FBgn0034323	-0.196	1.310e-03	0.625	CG18537	none
244	FBgn0030011	-0.201	2.400e-04	0.67	Gbeta5	none
245	FBgn0029885	-0.202	2.290e-03	0.524	CG3224	none
246	FBgn0033515	-0.205	1.400e-03	0.564	Ir47a	none
247	FBgn0266404	-0.206	4.070e-03	0.537	-	none
248	FBgn0030759	-0.207	2.500e-03	0.552	CG13014	none
249	FBgn0267191	-0.207	2.223e-02	0.509	-	 old non-Smurf
250	FBgn0030004	-0.208	2.240e-03	0.525	CG10958	none
251	FBgn0031814	-0.213	5.210e-03	0.507	retm	none
252	FBgn0032645	-0.213	6.000e-04	0.67	CG15142	none
253	FBgn0037186	-0.218	3.544e-02	0.542	CG11241	none
254	FBgn0260484	-0.219	3.780e-03	0.566	HIP-R	Smurf & old non-Smurf
255	FBgn0038315	-0.231	1.450e-03	0.601	CG14866	none
256	FBgn0262954	-0.232	6.220e-03	0.531	Rpb12	 old non-Smurf
257	FBgn0036575	-0.234	2.546e-02	0.629	CG5157	Smurf & old non-Smurf
258	FBgn0030331	-0.235	1.666e-02	0.522	CG15221	Smurf & old non-Smurf
259	FBgn0031695	-0.24	6.670e-03	0.5	Cyp4ac3	Smurf
260	FBgn0037788	-0.244	1.470e-03	0.574	CG3940	Smurf
261	FBgn0040775	-0.247	5.320e-03	0.626	CG12158	Smurf & old non-Smurf
262	FBgn0039840	-0.249	2.573e-02	0.635	pHCl-2	Smurf
263	FBgn0004372	-0.257	9.380e-03	0.535	aly	none
264	FBgn0036362	-0.276	3.090e-03	0.533	CG10725	Smurf
265	FBgn0040705	-0.286	8.950e-03	0.511	ND-B8	 old non-Smurf
266	FBgn0031865	-0.287	1.750e-02	0.51	Nha1	Smurf & old non-Smurf
267	FBgn0051104	-0.287	3.289e-02	0.534	CG31104	Smurf
268	FBgn0032253	-0.296	2.980e-03	0.613	LManI	Smurf & old non-Smurf
269	FBgn0039325	-0.304	1.796e-02	0.51	CG10560	Smurf & old non-Smurf
270	FBgn0267164	-0.309	3.900e-04	0.633	-	none
271	FBgn0022702	-0.31	5.110e-03	0.526	Cht2	 old non-Smurf
272	FBgn0013348	-0.316	7.100e-04	0.599	TpnC41C	none
273	FBgn0042201	-0.332	8.000e-05	0.83	Nplp3	Smurf & old non-Smurf
274	FBgn0040725	-0.336	1.080e-03	0.624	CG13946	none
275	FBgn0085358	-0.337	1.170e-02	0.546	Diedel3	Smurf & old non-Smurf
276	FBgn0032008	-0.355	3.900e-03	0.6	CG14277	Smurf & old non-Smurf
277	FBgn0039760	-0.406	7.730e-03	0.546	CG9682	 old non-Smurf
278	FBgn0035887	-0.409	5.690e-03	0.64	Jon66Cii	Smurf & old non-Smurf
279	FBgn0010241	-0.41	2.917e-02	0.654	Mdr50	none
280	FBgn0031929	-0.41	2.060e-03	0.532	CG18585	Smurf
281	FBgn0033188	-0.41	3.851e-02	0.516	Drat	Smurf
282	FBgn0016675	-0.415	6.500e-04	0.655	Lectin-galC1	Smurf & old non-Smurf
283	FBgn0034515	-0.42	1.296e-02	0.529	CG13428	Smurf & old non-Smurf
284	FBgn0038181	-0.441	1.020e-03	0.601	CG9297	 old non-Smurf
285	FBgn0036361	-0.443	2.790e-03	0.525	CG10154	 old non-Smurf
286	FBgn0037996	-0.445	8.000e-04	0.592	CG4830	Smurf
287	FBgn0085241	-0.474	2.840e-03	0.529	CG34212	 old non-Smurf
288	FBgn0031700	-0.491	7.300e-04	0.606	CG14022	none
289	FBgn0035734	-0.506	8.100e-04	0.592	CG14823	Smurf
